id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2208.07250v1,"Predicting Pedestrian Crosswalk Behavior Using Convolutional Neural
  Networks",Computer Vision and Pattern Recognition,cs.CV,2022-08-08,8/8/22,"['Eric Liang', 'Mark Stamp']",'Eric Liang',"A common yet potentially dangerous task is the act of crossing the street.
Pedestrian accidents contribute a significant amount to the high number of
annual traffic casualties, which is why it is crucial for pedestrians to use
safety measures such as a crosswalk. However, people often forget to activate a
crosswalk light or are unable to do so -- such as those who are visually
impaired or have occupied hands. Other pedestrians are simply careless and find
the crosswalk signals a hassle, which can result in an accident where a car
hits them. In this paper, we consider an improvement to the crosswalk system by
designing a system that can detect pedestrians and triggering the crosswalk
signal automatically. We collect a dataset of images that we then use to train
a convolutional neural network to distinguish between pedestrians (including
bicycle riders) and various false alarms. The resulting system can capture and
evaluate images in real time, and the result can be used to automatically
activate systems a crosswalk light. After extensive testing of our system in
real-world environments, we conclude that it is feasible as a back-up system
that can compliment existing crosswalk buttons, and thereby improve the overall
safety of crossing the street.",204
abs-2105.13979v2,"EDEN: Deep Feature Distribution Pooling for Saimaa Ringed Seals Pattern
  Matching",Computer Vision and Pattern Recognition,cs.CV,2021-05-28,8/24/21,"['Ilia Chelak', 'Ekaterina Nepovinnykh', 'Tuomas Eerola', 'Heikki Kälviäinen', 'Igor Belykh']",'Ilia Chelak',"In this paper, pelage pattern matching is considered to solve the individual
re-identification of the Saimaa ringed seals. Animal re-identification together
with the access to large amount of image material through camera traps and
crowd-sourcing provide novel possibilities for animal monitoring and
conservation. We propose a novel feature pooling approach that allow
aggregating the local pattern features to get a fixed size embedding vector
that incorporate global features by taking into account the spatial
distribution of features. This is obtained by eigen decomposition of
covariances computed for probability mass functions representing feature maps.
Embedding vectors can then be used to find the best match in the database of
known individuals allowing animal re-identification. The results show that the
proposed pooling method outperforms the existing methods on the challenging
Saimaa ringed seal image data.",133
abs-2006.06787v1,"On Improving the Generalization of Face Recognition in the Presence of
  Occlusions",Computer Vision and Pattern Recognition,cs.CV,2020-06-11,6/11/20,"['Xiang Xu', 'Nikolaos Sarafianos', 'Ioannis A. Kakadiaris']",'Xiang Xu',"In this paper, we address a key limitation of existing 2D face recognition
methods: robustness to occlusions. To accomplish this task, we systematically
analyzed the impact of facial attributes on the performance of a
state-of-the-art face recognition method and through extensive experimentation,
quantitatively analyzed the performance degradation under different types of
occlusion. Our proposed Occlusion-aware face REcOgnition (OREO) approach
learned discriminative facial templates despite the presence of such
occlusions. First, an attention mechanism was proposed that extracted local
identity-related region. The local features were then aggregated with the
global representations to form a single template. Second, a simple, yet
effective, training strategy was introduced to balance the non-occluded and
occluded facial images. Extensive experiments demonstrated that OREO improved
the generalization ability of face recognition under occlusions by (10.17%) in
a single-image-based setting and outperformed the baseline by approximately
(2%) in terms of rank-1 accuracy in an image-set-based scenario.",148
abs-2003.02365v1,Creating High Resolution Images with a Latent Adversarial Generator,Computer Vision and Pattern Recognition,cs.CV,2020-03-04,3/4/20,"['David Berthelot', 'Peyman Milanfar', 'Ian Goodfellow']",'David Berthelot',"Generating realistic images is difficult, and many formulations for this task
have been proposed recently. If we restrict the task to that of generating a
particular class of images, however, the task becomes more tractable. That is
to say, instead of generating an arbitrary image as a sample from the manifold
of natural images, we propose to sample images from a particular ""subspace"" of
natural images, directed by a low-resolution image from the same subspace. The
problem we address, while close to the formulation of the single-image
super-resolution problem, is in fact rather different. Single image
super-resolution is the task of predicting the image closest to the ground
truth from a relatively low resolution image. We propose to produce samples of
high resolution images given extremely small inputs with a new method called
Latent Adversarial Generator (LAG). In our generative sampling framework, we
only use the input (possibly of very low-resolution) to direct what class of
samples the network should produce. As such, the output of our algorithm is not
a unique image that relates to the input, but rather a possible se} of related
images sampled from the manifold of natural images. Our method learns
exclusively in the latent space of the adversary using perceptual loss -- it
does not have a pixel loss.",215
abs-2201.06888v1,Autoencoding Video Latents for Adversarial Video Generation,Computer Vision and Pattern Recognition,cs.CV,2022-01-18,1/18/22,['Sai Hemanth Kasaraneni'],'Sai Hemanth Kasaraneni',"Given the three dimensional complexity of a video signal, training a robust
and diverse GAN based video generative model is onerous due to large
stochasticity involved in data space. Learning disentangled representations of
the data help to improve robustness and provide control in the sampling
process. For video generation, there is a recent progress in this area by
considering motion and appearance as orthogonal information and designing
architectures that efficiently disentangle them. These approaches rely on
handcrafting architectures that impose structural priors on the generator to
decompose appearance and motion codes in the latent space. Inspired from the
recent advancements in the autoencoder based image generation, we present AVLAE
(Adversarial Video Latent AutoEncoder) which is a two stream latent autoencoder
where the video distribution is learned by adversarial training. In particular,
we propose to autoencode the motion and appearance latent vectors of the video
generator in the adversarial setting. We demonstrate that our approach learns
to disentangle motion and appearance codes even without the explicit structural
composition in the generator. Several experiments with qualitative and
quantitative results demonstrate the effectiveness of our method.",183
abs-2203.11432v1,"Gated Domain-Invariant Feature Disentanglement for Domain Generalizable
  Object Detection",Computer Vision and Pattern Recognition,cs.CV,2022-03-22,3/22/22,"['Haozhuo Zhang', 'Huimin Yu', 'Yuming Yan', 'Runfa Wang']",'Haozhuo Zhang',"For Domain Generalizable Object Detection (DGOD), Disentangled Representation
Learning (DRL) helps a lot by explicitly disentangling Domain-Invariant
Representations (DIR) from Domain-Specific Representations (DSR). Considering
the domain category is an attribute of input data, it should be feasible for
networks to fit a specific mapping which projects DSR into feature channels
exclusive to domain-specific information, and thus much cleaner disentanglement
of DIR from DSR can be achieved simply on channel dimension. Inspired by this
idea, we propose a novel DRL method for DGOD, which is termed Gated
Domain-Invariant Feature Disentanglement (GDIFD). In GDIFD, a Channel Gate
Module (CGM) learns to output channel gate signals close to either 0 or 1,
which can mask out the channels exclusive to domain-specific information
helpful for domain recognition. With the proposed GDIFD, the backbone in our
framework can fit the desired mapping easily, which enables the channel-wise
disentanglement. In experiments, we demonstrate that our approach is highly
effective and achieves state-of-the-art DGOD performance.",158
abs-2010.05350v1,Google Landmark Recognition 2020 Competition Third Place Solution,Computer Vision and Pattern Recognition,cs.CV,2020-10-11,10/11/20,"['Qishen Ha', 'Bo Liu', 'Fuxu Liu', 'Peiyuan Liao']",'Qishen Ha',"We present our third place solution to the Google Landmark Recognition 2020
competition. It is an ensemble of global features only Sub-center ArcFace
models. We introduce dynamic margins for ArcFace loss, a family of tune-able
margin functions of class size, designed to deal with the extreme imbalance in
GLDv2 dataset. Progressive finetuning and careful postprocessing are also key
to the solution. Our two submissions scored 0.6344 and 0.6289 on private
leaderboard, both ranking third place out of 736 teams.",79
abs-2102.04366v1,"Counting and Locating High-Density Objects Using Convolutional Neural
  Network",Computer Vision and Pattern Recognition,cs.CV,2021-02-08,2/8/21,"['Mauro dos Santos de Arruda', 'Lucas Prado Osco', 'Plabiany Rodrigo Acosta', 'Diogo Nunes Gonçalves', 'José Marcato Junior', 'Ana Paula Marques Ramos', 'Edson Takashi Matsubara', 'Zhipeng Luo', 'Jonathan Li', 'Jonathan de Andrade Silva', 'Wesley Nunes Gonçalves']",'Mauro dos Santos de Arruda',"This paper presents a Convolutional Neural Network (CNN) approach for
counting and locating objects in high-density imagery. To the best of our
knowledge, this is the first object counting and locating method based on a
feature map enhancement and a Multi-Stage Refinement of the confidence map. The
proposed method was evaluated in two counting datasets: tree and car. For the
tree dataset, our method returned a mean absolute error (MAE) of 2.05, a
root-mean-squared error (RMSE) of 2.87 and a coefficient of determination
(R$^2$) of 0.986. For the car dataset (CARPK and PUCPR+), our method was
superior to state-of-the-art methods. In the these datasets, our approach
achieved an MAE of 4.45 and 3.16, an RMSE of 6.18 and 4.39, and an R$^2$ of
0.975 and 0.999, respectively. The proposed method is suitable for dealing with
high object-density, returning a state-of-the-art performance for counting and
locating objects.",146
abs-2104.04359v1,Rock Hunting With Martian Machine Vision,Computer Vision and Pattern Recognition,cs.CV,2021-04-09,4/9/21,"['David Noever', 'Samantha E. Miller Noever']",'David Noever',"The Mars Perseverance rover applies computer vision for navigation and hazard
avoidance. The challenge to do onboard object recognition highlights the need
for low-power, customized training, often including low-contrast backgrounds.
We investigate deep learning methods for the classification and detection of
Martian rocks. We report greater than 97% accuracy for binary classifications
(rock vs. rover). We fine-tune a detector to render geo-located bounding boxes
while counting rocks. For these models to run on microcontrollers, we shrink
and quantize the neural networks' weights and demonstrate a low-power rock
hunter with faster frame rates (1 frame per second) but lower accuracy (37%).",100
abs-2101.10897v1,HexCNN: A Framework for Native Hexagonal Convolutional Neural Networks,Computer Vision and Pattern Recognition,cs.CV,2021-01-25,1/25/21,"['Yunxiang Zhao', 'Qiuhong Ke', 'Flip Korn', 'Jianzhong Qi', 'Rui Zhang']",'Yunxiang Zhao',"Hexagonal CNN models have shown superior performance in applications such as
IACT data analysis and aerial scene classification due to their better rotation
symmetry and reduced anisotropy. In order to realize hexagonal processing,
existing studies mainly use the ZeroOut method to imitate hexagonal processing,
which causes substantial memory and computation overheads. We address this
deficiency with a novel native hexagonal CNN framework named HexCNN. HexCNN
takes hexagon-shaped input and performs forward and backward propagation on the
original form of the input based on hexagon-shaped filters, hence avoiding
computation and memory overheads caused by imitation. For applications with
rectangle-shaped input but require hexagonal processing, HexCNN can be applied
by padding the input into hexagon-shape as preprocessing. In this case, we show
that the time and space efficiency of HexCNN still outperforms existing
hexagonal CNN methods substantially. Experimental results show that compared
with the state-of-the-art models, which imitate hexagonal processing but using
rectangle-shaped filters, HexCNN reduces the training time by up to 42.2%.
Meanwhile, HexCNN saves the memory space cost by up to 25% and 41.7% for
loading the input and performing convolution, respectively.",182
abs-2201.09302v1,1000x Faster Camera and Machine Vision with Ordinary Devices,Computer Vision and Pattern Recognition,cs.CV,2022-01-23,1/23/22,"['Tiejun Huang', 'Yajing Zheng', 'Zhaofei Yu', 'Rui Chen', 'Yuan Li', 'Ruiqin Xiong', 'Lei Ma', 'Junwei Zhao', 'Siwei Dong', 'Lin Zhu', 'Jianing Li', 'Shanshan Jia', 'Yihua Fu', 'Boxin Shi', 'Si Wu', 'Yonghong Tian']",'Tiejun Huang',"In digital cameras, we find a major limitation: the image and video form
inherited from a film camera obstructs it from capturing the rapidly changing
photonic world. Here, we present vidar, a bit sequence array where each bit
represents whether the accumulation of photons has reached a threshold, to
record and reconstruct the scene radiance at any moment. By employing only
consumer-level CMOS sensors and integrated circuits, we have developed a vidar
camera that is 1,000x faster than conventional cameras. By treating vidar as
spike trains in biological vision, we have further developed a spiking neural
network-based machine vision system that combines the speed of the machine and
the mechanism of biological vision, achieving high-speed object detection and
tracking 1,000x faster than human vision. We demonstrate the utility of the
vidar camera and the super vision system in an assistant referee and target
pointing system. Our study is expected to fundamentally revolutionize the image
and video concepts and related industries, including photography, movies, and
visual media, and to unseal a new spiking neural network-enabled speed-free
machine vision era.",178
abs-2108.01361v2,Cycle-Consistent Inverse GAN for Text-to-Image Synthesis,Computer Vision and Pattern Recognition,cs.CV,2021-08-03,9/12/21,"['Hao Wang', 'Guosheng Lin', 'Steven C. H. Hoi', 'Chunyan Miao']",'Hao Wang',"This paper investigates an open research task of text-to-image synthesis for
automatically generating or manipulating images from text descriptions.
Prevailing methods mainly use the text as conditions for GAN generation, and
train different models for the text-guided image generation and manipulation
tasks. In this paper, we propose a novel unified framework of Cycle-consistent
Inverse GAN (CI-GAN) for both text-to-image generation and text-guided image
manipulation tasks. Specifically, we first train a GAN model without text
input, aiming to generate images with high diversity and quality. Then we learn
a GAN inversion model to convert the images back to the GAN latent space and
obtain the inverted latent codes for each image, where we introduce the
cycle-consistency training to learn more robust and consistent inverted latent
codes. We further uncover the latent space semantics of the trained GAN model,
by learning a similarity model between text representations and the latent
codes. In the text-guided optimization module, we generate images with the
desired semantic attributes by optimizing the inverted latent codes. Extensive
experiments on the Recipe1M and CUB datasets validate the efficacy of our
proposed framework.",183
abs-2010.15464v2,"Pretext-Contrastive Learning: Toward Good Practices in Self-supervised
  Video Representation Leaning",Computer Vision and Pattern Recognition,cs.CV,2020-10-29,4/4/21,"['Li Tao', 'Xueting Wang', 'Toshihiko Yamasaki']",'Li Tao',"Recently, pretext-task based methods are proposed one after another in
self-supervised video feature learning. Meanwhile, contrastive learning methods
also yield good performance. Usually, new methods can beat previous ones as
claimed that they could capture ""better"" temporal information. However, there
exist setting differences among them and it is hard to conclude which is
better. It would be much more convincing in comparison if these methods have
reached as closer to their performance limits as possible. In this paper, we
start from one pretext-task baseline, exploring how far it can go by combining
it with contrastive learning, data pre-processing, and data augmentation. A
proper setting has been found from extensive experiments, with which huge
improvements over the baselines can be achieved, indicating a joint
optimization framework can boost both pretext task and contrastive learning. We
denote the joint optimization framework as Pretext-Contrastive Learning (PCL).
The other two pretext task baselines are used to validate the effectiveness of
PCL. And we can easily outperform current state-of-the-art methods in the same
training manner, showing the effectiveness and the generality of our proposal.
It is convenient to treat PCL as a standard training strategy and apply it to
many other works in self-supervised video feature learning.",202
abs-2301.03155v2,"Instance Segmentation Based Graph Extraction for Handwritten Circuit
  Diagram Images",Computer Vision and Pattern Recognition,cs.CV,2023-01-09,1/18/23,"['Johannes Bayer', 'Amit Kumar Roy', 'Andreas Dengel']",'Johannes Bayer',"Handwritten circuit diagrams from educational scenarios or historic sources
usually exist on analogue media. For deriving their functional principles or
flaws automatically, they need to be digitized, extracting their electrical
graph. Recently, the base technologies for automated pipelines facilitating
this process shifted from computer vision to machine learning. This paper
describes an approach for extracting both the electrical components (including
their terminals and describing texts) as well their interconnections (including
junctions and wire hops) by the means of instance segmentation and keypoint
extraction. Consequently, the resulting graph extraction process consists of a
simple two-step process of model inference and trivial geometric keypoint
matching. The dataset itself, its preparation, model training and
post-processing are described and publicly available.",117
