id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2103.08391v1,Flexible FOND Planning with Explicit Fairness Assumptions,Artificial Intelligence,cs.AI,2021-03-15,3/15/21,"['Ivan D. Rodriguez', 'Blai Bonet', 'Sebastian Sardina', 'Hector Geffner']",'Ivan D. Rodriguez',"We consider the problem of reaching a propositional goal condition in
fully-observable non-deterministic (FOND) planning under a general class of
fairness assumptions that are given explicitly. The fairness assumptions are of
the form A/B and say that state trajectories that contain infinite occurrences
of an action a from A in a state s and finite occurrence of actions from B,
must also contain infinite occurrences of action a in s followed by each one of
its possible outcomes. The infinite trajectories that violate this condition
are deemed as unfair, and the solutions are policies for which all the fair
trajectories reach a goal state. We show that strong and strong-cyclic FOND
planning, as well as QNP planning, a planning model introduced recently for
generalized planning, are all special cases of FOND planning with fairness
assumptions of this form which can also be combined. FOND+ planning, as this
form of planning is called, combines the syntax of FOND planning with some of
the versatility of LTL for expressing fairness constraints. A new planner is
implemented by reducing FOND+ planning to answer set programs, and the
performance of the planner is evaluated in comparison with FOND and QNP
planners, and LTL synthesis tools.",201
abs-2305.10708v1,"Machine Learning Recommendation System For Health Insurance Decision
  Making In Nigeria",Artificial Intelligence,cs.AI,2023-05-18,5/18/23,"['Ayomide Owoyemi', 'Emmanuel Nnaemeka', 'Temitope O. Benson', 'Ronald Ikpe', 'Blessing Nwachukwu', 'Temitope Isedowo']",'Ayomide Owoyemi',"The uptake of health insurance has been poor in Nigeria, a significant step
to improving this includes improved awareness, access to information and tools
to support decision making. Artificial intelligence (AI) based recommender
systems have gained popularity in helping individuals find movies, books,
music, and different types of products on the internet including diverse
applications in healthcare. The content-based methodology (item-based approach)
was employed in the recommender system. We applied both the K-Nearest Neighbor
(KNN) and Cosine similarity algorithm. We chose the Cosine similarity as our
chosen algorithm after several evaluations based of their outcomes in
comparison with domain knowledge. The recommender system takes into
consideration the choices entered by the user, filters the health management
organization (HMO) data by location and chosen prices. It then recommends the
top 3 HMOs with closest similarity in services offered. A recommendation tool
to help people find and select the best health insurance plan for them is
useful in reducing the barrier of accessing health insurance. Users are
empowered to easily find appropriate information on available plans, reduce
cognitive overload in dealing with over 100 options available in the market and
easily see what matches their financial capacity.",195
abs-2104.00158v1,"Online Learning Probabilistic Event Calculus Theories in Answer Set
  Programming",Artificial Intelligence,cs.AI,2021-03-31,3/31/21,"['Nikos Katzouris', 'Alexander Artikis', 'Georgios Paliouras']",'Nikos Katzouris',"Complex Event Recognition (CER) systems detect event occurrences in streaming
time-stamped input using predefined event patterns. Logic-based approaches are
of special interest in CER, since, via Statistical Relational AI, they combine
uncertainty-resilient reasoning with time and change, with machine learning,
thus alleviating the cost of manual event pattern authoring. We present a
system based on Answer Set Programming (ASP), capable of probabilistic
reasoning with complex event patterns in the form of weighted rules in the
Event Calculus, whose structure and weights are learnt online. We compare our
ASP-based implementation with a Markov Logic-based one and with a number of
state-of-the-art batch learning algorithms on CER datasets for activity
recognition, maritime surveillance and fleet management. Our results
demonstrate the superiority of our novel approach, both in terms of efficiency
and predictive performance. This paper is under consideration for publication
in Theory and Practice of Logic Programming (TPLP).",146
abs-2309.09825v3,"Bias of AI-Generated Content: An Examination of News Produced by Large
  Language Models",Artificial Intelligence,cs.AI,2023-09-18,4/3/24,"['Xiao Fang', 'Shangkun Che', 'Minjia Mao', 'Hongzhe Zhang', 'Ming Zhao', 'Xiaohang Zhao']",'Xiao Fang',"Large language models (LLMs) have the potential to transform our lives and
work through the content they generate, known as AI-Generated Content (AIGC).
To harness this transformation, we need to understand the limitations of LLMs.
Here, we investigate the bias of AIGC produced by seven representative LLMs,
including ChatGPT and LLaMA. We collect news articles from The New York Times
and Reuters, both known for their dedication to provide unbiased news. We then
apply each examined LLM to generate news content with headlines of these news
articles as prompts, and evaluate the gender and racial biases of the AIGC
produced by the LLM by comparing the AIGC and the original news articles. We
further analyze the gender bias of each LLM under biased prompts by adding
gender-biased messages to prompts constructed from these news headlines. Our
study reveals that the AIGC produced by each examined LLM demonstrates
substantial gender and racial biases. Moreover, the AIGC generated by each LLM
exhibits notable discrimination against females and individuals of the Black
race. Among the LLMs, the AIGC generated by ChatGPT demonstrates the lowest
level of bias, and ChatGPT is the sole model capable of declining content
generation when provided with biased prompts.",200
abs-2001.08193v1,StarAI: Reducing incompleteness in the game of Bridge using PLP,Artificial Intelligence,cs.AI,2020-01-22,1/22/20,"['J Li', 'S Thepaut', 'V Ventos']",'J Li',"Bridge is a trick-taking card game requiring the ability to evaluate
probabilities since it is a game of incomplete information where each player
only sees its cards. In order to choose a strategy, a player needs to gather
information about the hidden cards in the other players' hand. We present a
methodology allowing us to model a part of card playing in Bridge using
Probabilistic Logic Programming.",67
abs-2403.09806v1,xLP: Explainable Link Prediction for Master Data Management,Artificial Intelligence,cs.AI,2024-03-14,3/14/24,"['Balaji Ganesan', 'Matheen Ahmed Pasha', 'Srinivasa Parkala', 'Neeraj R Singh', 'Gayatri Mishra', 'Sumit Bhatia', 'Hima Patel', 'Somashekar Naganna', 'Sameep Mehta']",'Balaji Ganesan',"Explaining neural model predictions to users requires creativity. Especially
in enterprise applications, where there are costs associated with users' time,
and their trust in the model predictions is critical for adoption. For link
prediction in master data management, we have built a number of explainability
solutions drawing from research in interpretability, fact verification, path
ranking, neuro-symbolic reasoning and self-explaining AI. In this demo, we
present explanations for link prediction in a creative way, to allow users to
choose explanations they are more comfortable with.",84
abs-2411.06198v1,"OpenAI-o1 AB Testing: Does the o1 model really do good reasoning in math
  problem solving?",Artificial Intelligence,cs.AI,2024-11-09,11/9/24,"['Leo Li', 'Ye Luo', 'Tingyou Pan']",'Leo Li',"The Orion-1 model by OpenAI is claimed to have more robust logical reasoning
capabilities than previous large language models. However, some suggest the
excellence might be partially due to the model ""memorizing"" solutions,
resulting in less satisfactory performance when prompted with problems not in
the training data. We conduct a comparison experiment using two datasets: one
consisting of International Mathematics Olympiad (IMO) problems, which is
easily accessible; the other one consisting of Chinese National Team Training
camp (CNT) problems, which have similar difficulty but not as publically
accessible. We label the response for each problem and compare the performance
between the two datasets. We conclude that there is no significant evidence to
show that the model relies on memorizing problems and solutions. Also, we
perform case studies to analyze some features of the model's response.",135
abs-2404.04436v1,"AI Knowledge and Reasoning: Emulating Expert Creativity in Scientific
  Research",Artificial Intelligence,cs.AI,2024-04-05,4/5/24,"['Anirban Mukherjee', 'Hannah Hanwen Chang']",'Anirban Mukherjee',"We investigate whether modern AI can emulate expert creativity in complex
scientific endeavors. We introduce novel methodology that utilizes original
research articles published after the AI's training cutoff, ensuring no prior
exposure, mitigating concerns of rote memorization and prior training. The AI
are tasked with redacting findings, predicting outcomes from redacted research,
and assessing prediction accuracy against reported results. Analysis on 589
published studies in four leading psychology journals over a 28-month period,
showcase the AI's proficiency in understanding specialized research, deductive
reasoning, and evaluating evidentiary alignment--cognitive hallmarks of human
subject matter expertise and creativity. These findings suggest the potential
of general-purpose AI to transform academia, with roles requiring
knowledge-based creativity become increasingly susceptible to technological
substitution.",117
abs-2006.15762v1,Empirically Verifying Hypotheses Using Reinforcement Learning,Artificial Intelligence,cs.AI,2020-06-29,6/29/20,"['Kenneth Marino', 'Rob Fergus', 'Arthur Szlam', 'Abhinav Gupta']",'Kenneth Marino',"This paper formulates hypothesis verification as an RL problem. Specifically,
we aim to build an agent that, given a hypothesis about the dynamics of the
world, can take actions to generate observations which can help predict whether
the hypothesis is true or false. Existing RL algorithms fail to solve this
task, even for simple environments. In order to train the agents, we exploit
the underlying structure of many hypotheses, factorizing them as
{pre-condition, action sequence, post-condition} triplets. By leveraging this
structure we show that RL agents are able to succeed at the task. Furthermore,
subsequent fine-tuning of the policies allows the agent to correctly verify
hypotheses not amenable to the above factorization.",112
abs-2111.03048v5,Imagine Networks,Artificial Intelligence,cs.AI,2021-11-04,12/30/21,"['Seokjun Kim', 'Jaeeun Jang', 'Hyeoncheol Kim']",'Seokjun Kim',"In this paper, we introduce an imagine network that can simulate itself
through artificial association networks. Association, deduction, and memory
networks are learned, and a network is created by combining the discriminator
and reinforcement learning models. This model can learn various datasets or
data samples generated in environments and generate new data samples.",53
