id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2412.04731v1,"TelOps: AI-driven Operations and Maintenance for Telecommunication
  Networks",Artificial Intelligence,cs.AI,2024-12-06,12/6/24,"['Yuqian Yang', 'Shusen Yang', 'Cong Zhao', 'Zongben Xu']",'Yuqian Yang',"Telecommunication Networks (TNs) have become the most important
infrastructure for data communications over the last century. Operations and
maintenance (O&M) is extremely important to ensure the availability,
effectiveness, and efficiency of TN communications. Different from the popular
O&M technique for IT systems (e.g., the cloud), artificial intelligence for IT
Operations (AIOps), O&M for TNs meets the following three fundamental
challenges: topological dependence of network components, highly heterogeneous
software, and restricted failure data. This article presents TelOps, the first
AI-driven O&M framework for TNs, systematically enhanced with mechanism, data,
and empirical knowledge. We provide a comprehensive comparison between TelOps
and AIOps, and conduct a proof-of-concept case study on a typical O&M task
(failure diagnosis) for a real industrial TN. As the first systematic AI-driven
O&M framework for TNs, TelOps opens a new door to applying AI techniques to TN
automation.",139
abs-2410.17229v2,Responsibility in a Multi-Value Strategic Setting,Artificial Intelligence,cs.AI,2024-10-22,11/8/24,"['Timothy Parker', 'Umberto Grandi', 'Emiliano Lorini']",'Timothy Parker',"Responsibility is a key notion in multi-agent systems and in creating safe,
reliable and ethical AI. However, most previous work on responsibility has only
considered responsibility for single outcomes. In this paper we present a model
for responsibility attribution in a multi-agent, multi-value setting. We also
expand our model to cover responsibility anticipation, demonstrating how
considerations of responsibility can help an agent to select strategies that
are in line with its values. In particular we show that non-dominated
regret-minimising strategies reliably minimise an agent's expected degree of
responsibility.",88
abs-2403.01816v1,"SMAUG: A Sliding Multidimensional Task Window-Based MARL Framework for
  Adaptive Real-Time Subtask Recognition",Artificial Intelligence,cs.AI,2024-03-04,3/4/24,"['Wenjing Zhang', 'Wei Zhang']",'Wenjing Zhang',"Instead of making behavioral decisions directly from the exponentially
expanding joint observational-action space, subtask-based multi-agent
reinforcement learning (MARL) methods enable agents to learn how to tackle
different subtasks. Most existing subtask-based MARL methods are based on
hierarchical reinforcement learning (HRL). However, these approaches often
limit the number of subtasks, perform subtask recognition periodically, and can
only identify and execute a specific subtask within the predefined fixed time
period, which makes them inflexible and not suitable for diverse and dynamic
scenarios with constantly changing subtasks. To break through above
restrictions, a \textbf{S}liding \textbf{M}ultidimensional t\textbf{A}sk window
based m\textbf{U}ti-agent reinforcement learnin\textbf{G} framework (SMAUG) is
proposed for adaptive real-time subtask recognition. It leverages a sliding
multidimensional task window to extract essential information of subtasks from
trajectory segments concatenated based on observed and predicted trajectories
in varying lengths. An inference network is designed to iteratively predict
future trajectories with the subtask-oriented policy network. Furthermore,
intrinsic motivation rewards are defined to promote subtask exploration and
behavior diversity. SMAUG can be integrated with any Q-learning-based approach.
Experiments on StarCraft II show that SMAUG not only demonstrates performance
superiority in comparison with all baselines but also presents a more prominent
and swift rise in rewards during the initial training stage.",202
abs-2408.10549v1,AI-Based IVR,Artificial Intelligence,cs.AI,2024-08-20,8/20/24,"['Gassyrbek Kosherbay', 'Nurgissa Apbaz']",'Gassyrbek Kosherbay',"The use of traditional IVR (Interactive Voice Response) methods often proves
insufficient to meet customer needs. This article examines the application of
artificial intelligence (AI) technologies to enhance the efficiency of IVR
systems in call centers. A proposed approach is based on the integration of
speech-to-text conversion solutions, text query classification using large
language models (LLM), and speech synthesis. Special attention is given to
adapting these technologies to work with the Kazakh language, including
fine-tuning models on specialized datasets. The practical aspects of
implementing the developed system in a real call center for query
classification are described. The research results demonstrate that the
application of AI technologies in call center IVR systems reduces operator
workload, improves customer service quality, and increases the efficiency of
query processing. The proposed approach can be adapted for use in call centers
operating with various languages.",141
abs-2408.09626v1,"On the Foundations of Conflict-Driven Solving for Hybrid MKNF Knowledge
  Bases",Artificial Intelligence,cs.AI,2024-08-19,8/19/24,"['Riley Kinahan', 'Spencer Killen', 'Kevin Wan', 'Jia-Huai You']",'Riley Kinahan',"Hybrid MKNF Knowledge Bases (HMKNF-KBs) constitute a formalism for tightly
integrated reasoning over closed-world rules and open-world ontologies. This
approach allows for accurate modeling of real-world systems, which often rely
on both categorical and normative reasoning. Conflict-driven solving is the
leading approach for computationally hard problems, such as satisfiability
(SAT) and answer set programming (ASP), in which MKNF is rooted. This paper
investigates the theoretical underpinnings required for a conflict-driven
solver of HMKNF-KBs. The approach defines a set of completion and loop
formulas, whose satisfaction characterizes MKNF models. This forms the basis
for a set of nogoods, which in turn can be used as the backbone for a
conflict-driven solver.",110
abs-2402.02547v2,"Integration of cognitive tasks into artificial general intelligence test
  for large models",Artificial Intelligence,cs.AI,2024-02-04,3/6/24,"['Youzhi Qu', 'Chen Wei', 'Penghui Du', 'Wenxin Che', 'Chi Zhang', 'Wanli Ouyang', 'Yatao Bian', 'Feiyang Xu', 'Bin Hu', 'Kai Du', 'Haiyan Wu', 'Jia Liu', 'Quanying Liu']",'Youzhi Qu',"During the evolution of large models, performance evaluation is necessarily
performed to assess their capabilities and ensure safety before practical
application. However, current model evaluations mainly rely on specific tasks
and datasets, lacking a united framework for assessing the multidimensional
intelligence of large models. In this perspective, we advocate for a
comprehensive framework of cognitive science-inspired artificial general
intelligence (AGI) tests, aimed at fulfilling the testing needs of large models
with enhanced capabilities. The cognitive science-inspired AGI tests encompass
the full spectrum of intelligence facets, including crystallized intelligence,
fluid intelligence, social intelligence, and embodied intelligence. To assess
the multidimensional intelligence of large models, the AGI tests consist of a
battery of well-designed cognitive tests adopted from human intelligence tests,
and then naturally encapsulates into an immersive virtual community. We propose
increasing the complexity of AGI testing tasks commensurate with advancements
in large models and emphasizing the necessity for the interpretation of test
results to avoid false negatives and false positives. We believe that cognitive
science-inspired AGI tests will effectively guide the targeted improvement of
large models in specific dimensions of intelligence and accelerate the
integration of large models into human society.",191
abs-2408.09957v1,"Contextual Importance and Utility in Python: New Functionality and
  Insights with the py-ciu Package",Artificial Intelligence,cs.AI,2024-08-19,8/19/24,['Kary Främling'],'Kary Främling',"The availability of easy-to-use and reliable software implementations is
important for allowing researchers in academia and industry to test, assess and
take into use eXplainable AI (XAI) methods. This paper describes the
\texttt{py-ciu} Python implementation of the Contextual Importance and Utility
(CIU) model-agnostic, post-hoc explanation method and illustrates capabilities
of CIU that go beyond the current state-of-the-art that could be useful for XAI
practitioners in general.",66
abs-2404.05735v1,A Python Framework for Neutrosophic Sets and Mappings,Artificial Intelligence,cs.AI,2024-03-24,3/24/24,"['Giorgio Nordo', 'Saeid Jafari', 'Arif Mehmood', 'Bhimraj Basumatary']",'Giorgio Nordo',"In this paper we present an open source framework developed in Python and
consisting of three distinct classes designed to manipulate in a simple and
intuitive way both symbolic representations of neutrosophic sets over universes
of various types as well as mappings between them. The capabilities offered by
this framework extend and generalize previous attempts to provide software
solutions to the manipulation of neutrosophic sets such as those proposed by
Salama et al., Saranya et al., El-Ghareeb, Topal et al. and Sleem. The code is
described in detail and many examples and use cases are also provided.",97
abs-2408.07945v1,Solving a Rubik's Cube Using its Local Graph Structure,Artificial Intelligence,cs.AI,2024-08-15,8/15/24,"['Shunyu Yao', 'Mitchy Lee']",'Shunyu Yao',"The Rubix Cube is a 3-dimensional single-player combination puzzle attracting
attention in the reinforcement learning community. A Rubix Cube has six faces
and twelve possible actions, leading to a small and unconstrained action space
and a very large state space with only one goal state. Modeling such a large
state space and storing the information of each state requires exceptional
computational resources, which makes it challenging to find the shortest
solution to a scrambled Rubix cube with limited resources. The Rubix Cube can
be represented as a graph, where states of the cube are nodes and actions are
edges. Drawing on graph convolutional networks, we design a new heuristic,
weighted convolutional distance, for A star search algorithm to find the
solution to a scrambled Rubix Cube. This heuristic utilizes the information of
neighboring nodes and convolves them with attention-like weights, which creates
a deeper search for the shortest path to the solved state.",153
abs-2402.15960v2,Budget-Constrained Tool Learning with Planning,Artificial Intelligence,cs.AI,2024-02-25,6/11/24,"['Yuanhang Zheng', 'Peng Li', 'Ming Yan', 'Ji Zhang', 'Fei Huang', 'Yang Liu']",'Yuanhang Zheng',"Despite intensive efforts devoted to tool learning, the problem of
budget-constrained tool learning, which focuses on resolving user queries
within a specific budget constraint, has been widely overlooked. This paper
proposes a novel method for budget-constrained tool learning. Our approach
involves creating a preferable plan under the budget constraint before
utilizing the tools. This plan outlines the feasible tools and the maximum
number of times they can be employed, offering a comprehensive overview of the
tool learning process for large language models. This allows them to allocate
the budget from a broader perspective. To devise the plan without incurring
significant extra costs, we suggest initially estimating the usefulness of the
candidate tools based on past experience. Subsequently, we employ dynamic
programming to formulate the plan. Experimental results demonstrate that our
method can be integrated with various tool learning methods, significantly
enhancing their effectiveness under strict budget constraints.",147
