Embedding_Model,LLM_Model,Year_Group,Dataset,Row_Index,majority_label,bart_score,bart_label,deberta_large_score,deberta_large_label,deberta_ml_score,deberta_ml_label
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,0,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,1,entailment,1.0,entailment,0.5,neutral,1.0,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,2,entailment,0.625,entailment,0.625,entailment,0.875,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,3,neutral,0.0,neutral,0.0,neutral,0.25,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,5,neutral,0.25,neutral,0.0,neutral,0.25,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,6,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,7,entailment,0.625,entailment,0.625,entailment,0.625,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,8,neutral,0.0,neutral,0.0,neutral,0.16666666666666666,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,10,neutral,0.0,neutral,0.0,neutral,0.3333333333333333,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,11,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,12,neutral,0.2857142857142857,neutral,0.14285714285714285,neutral,0.14285714285714285,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,13,neutral,0.0,neutral,0.3333333333333333,neutral,0.0,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,15,neutral,0.0,neutral,0.0,neutral,0.0,neutral
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,16,entailment,1.0,entailment,0.3333333333333333,entailment,0.6666666666666666,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,17,neutral,0.4,neutral,0.2,neutral,0.6,entailment
granite-embedding-30m,llama3.2:1b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,18,neutral,0.25,neutral,0.125,neutral,0.125,neutral
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,0,entailment,1.0,entailment,0.5,neutral,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,1,entailment,1.0,entailment,1.0,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,2,entailment,0.5,entailment,0.5,entailment,0.8333333333333334,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,3,neutral,0.3333333333333333,neutral,0.0,neutral,0.0,neutral
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,5,entailment,1.0,entailment,1.0,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,6,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,7,entailment,0.7142857142857143,entailment,0.7142857142857143,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,8,neutral,0.0,neutral,0.3333333333333333,neutral,0.6666666666666666,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,10,entailment,1.0,entailment,1.0,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,11,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,12,neutral,0.0,contradiction,0.0,neutral,0.0,neutral
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,13,entailment,0.5,entailment,0.5,entailment,0.0,neutral
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,15,entailment,1.0,entailment,1.0,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,16,entailment,1.0,entailment,0.6666666666666666,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,17,entailment,1.0,entailment,0.6666666666666666,entailment,1.0,entailment
granite-embedding-30m,llama3.2:3b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,18,neutral,0.0,neutral,0.0,neutral,0.3333333333333333,neutral
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,0,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,1,entailment,1.0,entailment,1.0,entailment,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,2,entailment,0.3333333333333333,entailment,0.3333333333333333,neutral,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,3,neutral,0.5,entailment,0.0,neutral,0.0,neutral
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,5,entailment,1.0,entailment,0.5,entailment,0.5,neutral
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,6,contradiction,0.0,contradiction,0.0,contradiction,0.0,contradiction
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,7,Ambiguous,0.0,contradiction,0.0,neutral,0.6666666666666666,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,8,Ambiguous,0.0,contradiction,0.0,neutral,0.5,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,10,neutral,0.0,neutral,0.0,neutral,0.3333333333333333,neutral
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,11,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,12,neutral,0.26666666666666666,neutral,0.06666666666666667,neutral,0.06666666666666667,neutral
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,13,Ambiguous,0.25,contradiction,0.5,entailment,0.0,neutral
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,15,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,16,entailment,1.0,entailment,0.0,neutral,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,17,entailment,0.0,neutral,1.0,entailment,1.0,entailment
granite-embedding-30m,phi3.5:3.8b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,18,neutral,0.0,contradiction,0.0,neutral,0.0,neutral
granite-embedding-30m,gemma2:2b,df_2023_2024,df_2023_2024_Computer Vision and Pattern Recognition.csv,0,Ambiguous,1.0,entailment,0.5,neutral,0.5,contradiction
