Question,Source Article Index,Question Type,Summary,documentIDs
What does AIGC stand for in the context of the study on bias in AI-generated content?,abs-2309.09825v3,Direct Fact Retrieval & Definition,"Title: Bias of AI-Generated Content: An Examination of News Produced by Large
  Language Models 
Summary: Large language models (LLMs) have the potential to transform our lives and
work through the content they generate, known as AI-Generated Content (AIGC).
To harness this transformation, we need to understand the limitations of LLMs.
Here, we investigate the bias of AIGC produced by seven representative LLMs,
including ChatGPT and LLaMA. We collect news articles from The New York Times
and Reuters, both known for their dedication to provide unbiased news. We then
apply each examined LLM to generate news content with headlines of these news
articles as prompts, and evaluate the gender and racial biases of the AIGC
produced by the LLM by comparing the AIGC and the original news articles. We
further analyze the gender bias of each LLM under biased prompts by adding
gender-biased messages to prompts constructed from these news headlines. Our
study reveals that the AIGC produced by each examined LLM demonstrates
substantial gender and racial biases. Moreover, the AIGC generated by each LLM
exhibits notable discrimination against females and individuals of the Black
race. Among the LLMs, the AIGC generated by ChatGPT demonstrates the lowest
level of bias, and ChatGPT is the sole model capable of declining content
generation when provided with biased prompts. 

","abs-2309.09825v3, abs-2310.17811v2, abs-2404.04436v1, abs-2302.09319v1"
"According to article abs-2409.16913v1, what are the two distinct 'regions' identified within a Role-Playing Agent's forwarding representation that influence its response behavior?",abs-2409.16913v1,Direct Fact Retrieval & Definition,"Title: Tell Me What You Don't Know: Enhancing Refusal Capabilities of
  Role-Playing Agents via Representation Space Analysis and Editing 
Summary: Role-Playing Agents (RPAs) have shown remarkable performance in various
applications, yet they often struggle to recognize and appropriately respond to
hard queries that conflict with their role-play knowledge. To investigate RPAs'
performance when faced with different types of conflicting requests, we develop
an evaluation benchmark that includes contextual knowledge conflicting
requests, parametric knowledge conflicting requests, and non-conflicting
requests to assess RPAs' ability to identify conflicts and refuse to answer
appropriately without over-refusing. Through extensive evaluation, we find that
most RPAs behave significant performance gaps toward different conflict
requests. To elucidate the reasons, we conduct an in-depth representation-level
analysis of RPAs under various conflict scenarios. Our findings reveal the
existence of rejection regions and direct response regions within the model's
forwarding representation, and thus influence the RPA's final response
behavior. Therefore, we introduce a lightweight representation editing approach
that conveniently shifts conflicting requests to the rejection region, thereby
enhancing the model's refusal accuracy. The experimental results validate the
effectiveness of our editing method, improving RPAs' refusal ability of
conflicting requests while maintaining their general role-playing capabilities. 

","abs-2306.10061v2, abs-2402.17574v3, abs-2208.10327v1, abs-2301.12507v2, abs-2104.10429v1"
What is the name of the Python package introduced for facilitating efficient parallel Hyperparameter Optimization (HPO) with zero-cost benchmarks?,abs-2403.01888v3,Direct Fact Retrieval & Definition,"Title: Fast Benchmarking of Asynchronous Multi-Fidelity Optimization on
  Zero-Cost Benchmarks 
Summary: While deep learning has celebrated many successes, its results often hinge on
the meticulous selection of hyperparameters (HPs). However, the time-consuming
nature of deep learning training makes HP optimization (HPO) a costly endeavor,
slowing down the development of efficient HPO tools. While zero-cost
benchmarks, which provide performance and runtime without actual training,
offer a solution for non-parallel setups, they fall short in parallel setups as
each worker must communicate its queried runtime to return its evaluation in
the exact order. This work addresses this challenge by introducing a
user-friendly Python package that facilitates efficient parallel HPO with
zero-cost benchmarks. Our approach calculates the exact return order based on
the information stored in file system, eliminating the need for long waiting
times and enabling much faster HPO evaluations. We first verify the correctness
of our approach through extensive testing and the experiments with 6 popular
HPO libraries show its applicability to diverse libraries and its ability to
achieve over 1000x speedup compared to a traditional approach. Our package can
be installed via pip install mfhpo-simulator. 

","abs-2403.01888v3, abs-2105.14923v1, abs-2412.21104v2"
What does the acronym 'CRB' stand for in the paper that introduces a novel multi-armed bandits framework?,abs-2403.15640v1,Direct Fact Retrieval & Definition,"Title: Contextual Restless Multi-Armed Bandits with Application to Demand
  Response Decision-Making 
Summary: This paper introduces a novel multi-armed bandits framework, termed
Contextual Restless Bandits (CRB), for complex online decision-making. This CRB
framework incorporates the core features of contextual bandits and restless
bandits, so that it can model both the internal state transitions of each arm
and the influence of external global environmental contexts. Using the dual
decomposition method, we develop a scalable index policy algorithm for solving
the CRB problem, and theoretically analyze the asymptotical optimality of this
algorithm. In the case when the arm models are unknown, we further propose a
model-based online learning algorithm based on the index policy to learn the
arm models and make decisions simultaneously. Furthermore, we apply the
proposed CRB framework and the index policy algorithm specifically to the
demand response decision-making problem in smart grids. The numerical
simulations demonstrate the performance and efficiency of our proposed CRB
approaches. 

","abs-2403.15640v1, abs-2409.01374v1, abs-2410.15198v2"
What is the primary goal of the CausalSAT approach for analyzing modern SAT solvers?,abs-2306.06294v1,Summarization / Purpose Identification,"Title: Explaining SAT Solving Using Causal Reasoning 
Summary: The past three decades have witnessed notable success in designing efficient
SAT solvers, with modern solvers capable of solving industrial benchmarks
containing millions of variables in just a few seconds. The success of modern
SAT solvers owes to the widely-used CDCL algorithm, which lacks comprehensive
theoretical investigation. Furthermore, it has been observed that CDCL solvers
still struggle to deal with specific classes of benchmarks comprising only
hundreds of variables, which contrasts with their widespread use in real-world
applications. Consequently, there is an urgent need to uncover the inner
workings of these seemingly weak yet powerful black boxes.
  In this paper, we present a first step towards this goal by introducing an
approach called CausalSAT, which employs causal reasoning to gain insights into
the functioning of modern SAT solvers. CausalSAT initially generates
observational data from the execution of SAT solvers and learns a structured
graph representing the causal relationships between the components of a SAT
solver. Subsequently, given a query such as whether a clause with low literals
blocks distance (LBD) has a higher clause utility, CausalSAT calculates the
causal effect of LBD on clause utility and provides an answer to the question.
We use CausalSAT to quantitatively verify hypotheses previously regarded as
""rules of thumb"" or empirical findings such as the query above. Moreover,
CausalSAT can address previously unexplored questions, like which branching
heuristic leads to greater clause utility in order to study the relationship
between branching and clause management. Experimental evaluations using
practical benchmarks demonstrate that CausalSAT effectively fits the data,
verifies four ""rules of thumb"", and provides answers to three questions closely
related to implementing modern solvers. 

","abs-2306.06294v1, abs-2206.12700v2, abs-2304.11733v1, abs-2106.14431v2"
Summarize the main problem that the LaGR-SEQ framework is designed to address.,abs-2308.13542v1,Summarization / Purpose Identification,"Title: LaGR-SEQ: Language-Guided Reinforcement Learning with Sample-Efficient
  Querying 
Summary: Large language models (LLMs) have recently demonstrated their impressive
ability to provide context-aware responses via text. This ability could
potentially be used to predict plausible solutions in sequential decision
making tasks pertaining to pattern completion. For example, by observing a
partial stack of cubes, LLMs can predict the correct sequence in which the
remaining cubes should be stacked by extrapolating the observed patterns (e.g.,
cube sizes, colors or other attributes) in the partial stack. In this work, we
introduce LaGR (Language-Guided Reinforcement learning), which uses this
predictive ability of LLMs to propose solutions to tasks that have been
partially completed by a primary reinforcement learning (RL) agent, in order to
subsequently guide the latter's training. However, as RL training is generally
not sample-efficient, deploying this approach would inherently imply that the
LLM be repeatedly queried for solutions; a process that can be expensive and
infeasible. To address this issue, we introduce SEQ (sample efficient
querying), where we simultaneously train a secondary RL agent to decide when
the LLM should be queried for solutions. Specifically, we use the quality of
the solutions emanating from the LLM as the reward to train this agent. We show
that our proposed framework LaGR-SEQ enables more efficient primary RL
training, while simultaneously minimizing the number of queries to the LLM. We
demonstrate our approach on a series of tasks and highlight the advantages of
our approach, along with its limitations and potential future research
directions. 

","abs-2308.13542v1, abs-2408.09768v3, abs-2108.04115v2, abs-2408.00965v2, abs-2411.15832v2"
What is the core purpose of the 'FOND+ planning' model as presented in its abstract?,abs-2103.08391v1,Summarization / Purpose Identification,"Title: Flexible FOND Planning with Explicit Fairness Assumptions 
Summary: We consider the problem of reaching a propositional goal condition in
fully-observable non-deterministic (FOND) planning under a general class of
fairness assumptions that are given explicitly. The fairness assumptions are of
the form A/B and say that state trajectories that contain infinite occurrences
of an action a from A in a state s and finite occurrence of actions from B,
must also contain infinite occurrences of action a in s followed by each one of
its possible outcomes. The infinite trajectories that violate this condition
are deemed as unfair, and the solutions are policies for which all the fair
trajectories reach a goal state. We show that strong and strong-cyclic FOND
planning, as well as QNP planning, a planning model introduced recently for
generalized planning, are all special cases of FOND planning with fairness
assumptions of this form which can also be combined. FOND+ planning, as this
form of planning is called, combines the syntax of FOND planning with some of
the versatility of LTL for expressing fairness constraints. A new planner is
implemented by reducing FOND+ planning to answer set programs, and the
performance of the planner is evaluated in comparison with FOND and QNP
planners, and LTL synthesis tools. 

","abs-2103.08391v1, abs-2402.11901v1, abs-2008.04600v1, abs-2103.15575v1"
What is the main contribution of the paper on empirically verifying hypotheses using reinforcement learning?,abs-2006.15762v1,Summarization / Purpose Identification,"Title: Empirically Verifying Hypotheses Using Reinforcement Learning 
Summary: This paper formulates hypothesis verification as an RL problem. Specifically,
we aim to build an agent that, given a hypothesis about the dynamics of the
world, can take actions to generate observations which can help predict whether
the hypothesis is true or false. Existing RL algorithms fail to solve this
task, even for simple environments. In order to train the agents, we exploit
the underlying structure of many hypotheses, factorizing them as
{pre-condition, action sequence, post-condition} triplets. By leveraging this
structure we show that RL agents are able to succeed at the task. Furthermore,
subsequent fine-tuning of the policies allows the agent to correctly verify
hypotheses not amenable to the above factorization. 

","abs-2006.15762v1, abs-2206.12700v2, abs-2302.06188v2, abs-2206.07505v2, abs-2205.09729v1"
Compare the application of Probabilistic Logic Programming in article abs-2104.00158v1 for Complex Event Recognition and in article abs-2001.08193v1 for the game of Bridge.,"abs-2104.00158v1,abs-2001.08193v1",Comparative & Contrastive,"Title: Online Learning Probabilistic Event Calculus Theories in Answer Set
  Programming 
Summary: Complex Event Recognition (CER) systems detect event occurrences in streaming
time-stamped input using predefined event patterns. Logic-based approaches are
of special interest in CER, since, via Statistical Relational AI, they combine
uncertainty-resilient reasoning with time and change, with machine learning,
thus alleviating the cost of manual event pattern authoring. We present a
system based on Answer Set Programming (ASP), capable of probabilistic
reasoning with complex event patterns in the form of weighted rules in the
Event Calculus, whose structure and weights are learnt online. We compare our
ASP-based implementation with a Markov Logic-based one and with a number of
state-of-the-art batch learning algorithms on CER datasets for activity
recognition, maritime surveillance and fleet management. Our results
demonstrate the superiority of our novel approach, both in terms of efficiency
and predictive performance. This paper is under consideration for publication
in Theory and Practice of Logic Programming (TPLP). 

Title: StarAI: Reducing incompleteness in the game of Bridge using PLP 
Summary: Bridge is a trick-taking card game requiring the ability to evaluate
probabilities since it is a game of incomplete information where each player
only sees its cards. In order to choose a strategy, a player needs to gather
information about the hidden cards in the other players' hand. We present a
methodology allowing us to model a part of card playing in Bridge using
Probabilistic Logic Programming. 

","abs-2104.00158v1, abs-2001.08193v1, abs-2408.12591v2, abs-2303.13191v1"
Contrast the method for mitigating bias in LLMs proposed in abs-2404.10160v6 (Multi-role Debates) with the method used to evaluate bias in abs-2309.09825v3 (comparing AIGC to original news articles).,"abs-2404.10160v6,abs-2309.09825v3",Comparative & Contrastive,"Title: Reinforcement Learning from Multi-role Debates as Feedback for Bias
  Mitigation in LLMs 
Summary: Bias in LLMs can harm user experience and societal outcomes. However, current
bias mitigation methods often require intensive human feedback, lack
transferability to other topics or yield overconfident and random outputs. We
find that involving LLMs in role-playing scenario boosts their ability to
recognize and mitigate biases. Based on this, we propose Reinforcement Learning
from Multi-role Debates as Feedback (RLDF), a novel approach for bias
mitigation replacing human feedback in traditional RLHF. We utilize LLMs in
multi-role debates to create a dataset that includes both high-bias and
low-bias instances for training the reward model in reinforcement learning. Our
approach comprises two modes: (1) self-reflection, where the same LLM
participates in multi-role debates, and (2) teacher-student, where a more
advanced LLM like GPT-3.5-turbo guides the LLM to perform this task.
Experimental results across different LLMs on BBQ and our datasets demonstrate
the effectiveness of our approach in bias mitigation. Our source code and
datasets are available at \texttt{https://anonymous.4open.science/r/RLDF-E344}. 

Title: Bias of AI-Generated Content: An Examination of News Produced by Large
  Language Models 
Summary: Large language models (LLMs) have the potential to transform our lives and
work through the content they generate, known as AI-Generated Content (AIGC).
To harness this transformation, we need to understand the limitations of LLMs.
Here, we investigate the bias of AIGC produced by seven representative LLMs,
including ChatGPT and LLaMA. We collect news articles from The New York Times
and Reuters, both known for their dedication to provide unbiased news. We then
apply each examined LLM to generate news content with headlines of these news
articles as prompts, and evaluate the gender and racial biases of the AIGC
produced by the LLM by comparing the AIGC and the original news articles. We
further analyze the gender bias of each LLM under biased prompts by adding
gender-biased messages to prompts constructed from these news headlines. Our
study reveals that the AIGC produced by each examined LLM demonstrates
substantial gender and racial biases. Moreover, the AIGC generated by each LLM
exhibits notable discrimination against females and individuals of the Black
race. Among the LLMs, the AIGC generated by ChatGPT demonstrates the lowest
level of bias, and ChatGPT is the sole model capable of declining content
generation when provided with biased prompts. 

","abs-2404.10160v6, abs-2402.10083v1"
