id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2405.14124v4,Mixture of Experts Meets Prompt-Based Continual Learning,Machine Learning,cs.LG,2024-05-23,1/4/25,"['Minh Le', 'An Nguyen', 'Huy Nguyen', 'Trang Nguyen', 'Trang Pham', 'Linh Van Ngo', 'Nhat Ho']",'Minh Le',"Exploiting the power of pre-trained models, prompt-based approaches stand out
compared to other continual learning solutions in effectively preventing
catastrophic forgetting, even with very few learnable parameters and without
the need for a memory buffer. While existing prompt-based continual learning
methods excel in leveraging prompts for state-of-the-art performance, they
often lack a theoretical explanation for the effectiveness of prompting. This
paper conducts a theoretical analysis to unravel how prompts bestow such
advantages in continual learning, thus offering a new perspective on prompt
design. We first show that the attention block of pre-trained models like
Vision Transformers inherently encodes a special mixture of experts
architecture, characterized by linear experts and quadratic gating score
functions. This realization drives us to provide a novel view on prefix tuning,
reframing it as the addition of new task-specific experts, thereby inspiring
the design of a novel gating mechanism termed Non-linear Residual Gates
(NoRGa). Through the incorporation of non-linear activation and residual
connection, NoRGa enhances continual learning performance while preserving
parameter efficiency. The effectiveness of NoRGa is substantiated both
theoretically and empirically across diverse benchmarks and pretraining
paradigms. Our code is publicly available at
https://github.com/Minhchuyentoancbn/MoE_PromptCL",189
abs-2406.14047v1,Constrained Meta Agnostic Reinforcement Learning,Machine Learning,cs.LG,2024-06-20,6/20/24,"['Karam Daaboul', 'Florian Kuhm', 'Tim Joseph', 'J. Marius Zoellner']",'Karam Daaboul',"Meta-Reinforcement Learning (Meta-RL) aims to acquire meta-knowledge for
quick adaptation to diverse tasks. However, applying these policies in
real-world environments presents a significant challenge in balancing rapid
adaptability with adherence to environmental constraints. Our novel approach,
Constraint Model Agnostic Meta Learning (C-MAML), merges meta learning with
constrained optimization to address this challenge. C-MAML enables rapid and
efficient task adaptation by incorporating task-specific constraints directly
into its meta-algorithm framework during the training phase. This fusion
results in safer initial parameters for learning new tasks. We demonstrate the
effectiveness of C-MAML in simulated locomotion with wheeled robot tasks of
varying complexity, highlighting its practicality and robustness in dynamic
environments.",107
abs-2412.00126v1,Streamlined Federated Unlearning: Unite as One to Be Highly Efficient,Machine Learning,cs.LG,2024-11-28,11/28/24,"['Lei Zhou', 'Youwen Zhu', 'Qiao Xue', 'Ji Zhang', 'Pengfei Zhang']",'Lei Zhou',"Recently, the enactment of ""right to be forgotten"" laws and regulations has
imposed new privacy requirements on federated learning (FL). Researchers aim to
remove the influence of certain data from the trained model without training
from scratch through federated unlearning (FU). While current FU research has
shown progress in enhancing unlearning efficiency, it often results in degraded
model performance upon achieving the goal of data unlearning, necessitating
additional steps to recover the performance of the unlearned model. Moreover,
these approaches also suffer from many shortcomings such as high consumption of
computational and storage resources. To this end, we propose a streamlined
federated unlearning approach (SFU) aimed at effectively removing the influence
of target data while preserving the model's performance on the retained data
without degradation. We design a practical multi-teacher system that achieves
both target data influence removal and model performance preservation by
guiding the unlearned model through several distinct teacher models. SFU is
both computationally and storage-efficient, highly flexible, and generalizable.
We conducted extensive experiments on both image and text benchmark datasets.
The results demonstrate that SFU significantly improves time and communication
efficiency compared to the benchmark retraining method and significantly
outperforms existing state-of-the-art (SOTA) methods. Additionally, we verified
the effectiveness of SFU using the backdoor attack.",208
abs-2405.20824v1,"Online Convex Optimisation: The Optimal Switching Regret for all
  Segmentations Simultaneously",Machine Learning,cs.LG,2024-05-31,5/31/24,"['Stephen Pasteris', 'Chris Hicks', 'Vasilios Mavroudis', 'Mark Herbster']",'Stephen Pasteris',"We consider the classic problem of online convex optimisation. Whereas the
notion of static regret is relevant for stationary problems, the notion of
switching regret is more appropriate for non-stationary problems. A switching
regret is defined relative to any segmentation of the trial sequence, and is
equal to the sum of the static regrets of each segment. In this paper we show
that, perhaps surprisingly, we can achieve the asymptotically optimal switching
regret on every possible segmentation simultaneously. Our algorithm for doing
so is very efficient: having a space and per-trial time complexity that is
logarithmic in the time-horizon. Our algorithm also obtains novel bounds on its
dynamic regret: being adaptive to variations in the rate of change of the
comparator sequence.",122
abs-2406.03288v1,Embarrassingly Parallel GFlowNets,Machine Learning,cs.LG,2024-06-05,6/5/24,"['Tiago da Silva', 'Luiz Max Carvalho', 'Amauri Souza', 'Samuel Kaski', 'Diego Mesquita']",'Tiago da Silva',"GFlowNets are a promising alternative to MCMC sampling for discrete
compositional random variables. Training GFlowNets requires repeated
evaluations of the unnormalized target distribution or reward function.
However, for large-scale posterior sampling, this may be prohibitive since it
incurs traversing the data several times. Moreover, if the data are distributed
across clients, employing standard GFlowNets leads to intensive client-server
communication. To alleviate both these issues, we propose embarrassingly
parallel GFlowNet (EP-GFlowNet). EP-GFlowNet is a provably correct
divide-and-conquer method to sample from product distributions of the form
$R(\cdot) \propto R_1(\cdot) ... R_N(\cdot)$ -- e.g., in parallel or federated
Bayes, where each $R_n$ is a local posterior defined on a data partition.
First, in parallel, we train a local GFlowNet targeting each $R_n$ and send the
resulting models to the server. Then, the server learns a global GFlowNet by
enforcing our newly proposed \emph{aggregating balance} condition, requiring a
single communication step. Importantly, EP-GFlowNets can also be applied to
multi-objective optimization and model reuse. Our experiments illustrate the
EP-GFlowNets's effectiveness on many tasks, including parallel Bayesian
phylogenetics, multi-objective multiset, sequence generation, and federated
Bayesian structure learning.",182
abs-2404.05613v1,"Deep Representation Learning for Multi-functional Degradation Modeling
  of Community-dwelling Aging Population",Machine Learning,cs.LG,2024-04-08,4/8/24,"['Suiyao Chen', 'Xinyi Liu', 'Yulei Li', 'Jing Wu', 'Handong Yao']",'Suiyao Chen',"As the aging population grows, particularly for the baby boomer generation,
the United States is witnessing a significant increase in the elderly
population experiencing multifunctional disabilities. These disabilities,
stemming from a variety of chronic diseases, injuries, and impairments, present
a complex challenge due to their multidimensional nature, encompassing both
physical and cognitive aspects. Traditional methods often use univariate
regression-based methods to model and predict single degradation conditions and
assume population homogeneity, which is inadequate to address the complexity
and diversity of aging-related degradation. This study introduces a novel
framework for multi-functional degradation modeling that captures the
multidimensional (e.g., physical and cognitive) and heterogeneous nature of
elderly disabilities. Utilizing deep learning, our approach predicts health
degradation scores and uncovers latent heterogeneity from elderly health
histories, offering both efficient estimation and explainable insights into the
diverse effects and causes of aging-related degradation. A real-case study
demonstrates the effectiveness and marks a pivotal contribution to accurately
modeling the intricate dynamics of elderly degradation, and addresses the
healthcare challenges in the aging population.",169
abs-2403.10889v1,List Sample Compression and Uniform Convergence,Machine Learning,cs.LG,2024-03-16,3/16/24,"['Steve Hanneke', 'Shay Moran', 'Tom Waknine']",'Steve Hanneke',"List learning is a variant of supervised classification where the learner
outputs multiple plausible labels for each instance rather than just one. We
investigate classical principles related to generalization within the context
of list learning. Our primary goal is to determine whether classical principles
in the PAC setting retain their applicability in the domain of list PAC
learning. We focus on uniform convergence (which is the basis of Empirical Risk
Minimization) and on sample compression (which is a powerful manifestation of
Occam's Razor). In classical PAC learning, both uniform convergence and sample
compression satisfy a form of `completeness': whenever a class is learnable, it
can also be learned by a learning rule that adheres to these principles. We ask
whether the same completeness holds true in the list learning setting.
  We show that uniform convergence remains equivalent to learnability in the
list PAC learning setting. In contrast, our findings reveal surprising results
regarding sample compression: we prove that when the label space is
$Y=\{0,1,2\}$, then there are 2-list-learnable classes that cannot be
compressed. This refutes the list version of the sample compression conjecture
by Littlestone and Warmuth (1986). We prove an even stronger impossibility
result, showing that there are $2$-list-learnable classes that cannot be
compressed even when the reconstructed function can work with lists of
arbitrarily large size. We prove a similar result for (1-list) PAC learnable
classes when the label space is unbounded. This generalizes a recent result by
arXiv:2308.06424.",241
abs-2408.08526v1,Inverse design with conditional cascaded diffusion models,Machine Learning,cs.LG,2024-08-16,8/16/24,"['Milad Habibi', 'Mark Fuge']",'Milad Habibi',"Adjoint-based design optimizations are usually computationally expensive and
those costs scale with resolution. To address this, researchers have proposed
machine learning approaches for inverse design that can predict
higher-resolution solutions from lower cost/resolution ones. Due to the recent
success of diffusion models over traditional generative models, we extend the
use of diffusion models for multi-resolution tasks by proposing the conditional
cascaded diffusion model (cCDM). Compared to GANs, cCDM is more stable to
train, and each diffusion model within the cCDM can be trained independently,
thus each model's parameters can be tuned separately to maximize the
performance of the pipeline. Our study compares cCDM against a cGAN model with
transfer learning.
  Our results demonstrate that the cCDM excels in capturing finer details,
preserving volume fraction constraints, and minimizing compliance errors in
multi-resolution tasks when a sufficient amount of high-resolution training
data (more than 102 designs) is available. Furthermore, we explore the impact
of training data size on the performance of both models. While both models show
decreased performance with reduced high-resolution training data, the cCDM
loses its superiority to the cGAN model with transfer learning when training
data is limited (less than 102), and we show the break-even point for this
transition. Also, we highlight that while the diffusion model may achieve
better pixel-wise performance in both low-resolution and high-resolution
scenarios, this does not necessarily guarantee that the model produces optimal
compliance error or constraint satisfaction.",235
abs-2408.08493v2,Fishers Harvest Parallel Unlearning in Inherited Model Networks,Machine Learning,cs.LG,2024-08-16,8/20/24,"['Xiao Liu', 'Mingyuan Li', 'Xu Wang', 'Guangsheng Yu', 'Wei Ni', 'Lixiang Li', 'Haipeng Peng', 'Renping Liu']",'Xiao Liu',"Unlearning in various learning frameworks remains challenging, with the
continuous growth and updates of models exhibiting complex inheritance
relationships. This paper presents a novel unlearning framework, which enables
fully parallel unlearning among models exhibiting inheritance. A key enabler is
the new Unified Model Inheritance Graph (UMIG), which captures the inheritance
using a Directed Acyclic Graph (DAG).Central to our framework is the new Fisher
Inheritance Unlearning (FIUn) algorithm, which utilizes the Fisher Information
Matrix (FIM) from initial unlearning models to pinpoint impacted parameters in
inherited models. By employing FIM, the FIUn method breaks the sequential
dependencies among the models, facilitating simultaneous unlearning and
reducing computational overhead. We further design to merge disparate FIMs into
a single matrix, synchronizing updates across inherited models. Experiments
confirm the effectiveness of our unlearning framework. For single-class tasks,
it achieves complete unlearning with 0\% accuracy for unlearned labels while
maintaining 94.53\% accuracy for retained labels on average. For multi-class
tasks, the accuracy is 1.07\% for unlearned labels and 84.77\% for retained
labels on average. Our framework accelerates unlearning by 99\% compared to
alternative methods.",178
abs-2403.13128v1,"AdaFish: Fast low-rank parameter-efficient fine-tuning by using
  second-order information",Machine Learning,cs.LG,2024-03-19,3/19/24,"['Jiang Hu', 'Quanzheng Li']",'Jiang Hu',"Recent advancements in large-scale pretrained models have significantly
improved performance across a variety of tasks in natural language processing
and computer vision. However, the extensive number of parameters in these
models necessitates substantial memory and computational resources for full
training. To adapt these models for downstream tasks or specific
application-oriented datasets, parameter-efficient fine-tuning methods
leveraging pretrained parameters have gained considerable attention. However,
it can still be time-consuming due to lots of parameters and epochs. In this
work, we introduce AdaFish, an efficient algorithm of the second-order type
designed to expedite the training process within low-rank decomposition-based
fine-tuning frameworks. Our key observation is that the associated generalized
Fisher information matrix is either low-rank or extremely small-scaled. Such a
generalized Fisher information matrix is shown to be equivalent to the Hessian
matrix. Moreover, we prove the global convergence of AdaFish, along with its
iteration/oracle complexity. Numerical experiments show that our algorithm is
quite competitive with the state-of-the-art AdamW method.",157
