id,title,category,category_code,published_date,updated_date,authors,first_author,summary,summary_word_count
abs-2311.18587v2,"Continuous 16-bit Training: Accelerating 32-bit Pre-Trained Neural
  Networks",Machine Learning,cs.LG,2023-11-30,12/1/23,['Juyoung Yun'],'Juyoung Yun',"In the field of deep learning, the prevalence of models initially trained
with 32-bit precision is a testament to its robustness and accuracy. However,
the continuous evolution of these models often demands further training, which
can be resource-intensive. This study introduces a novel approach where we
continue the training of these pre-existing 32-bit models using 16-bit
precision. This technique not only caters to the need for efficiency in
computational resources but also significantly improves the speed of additional
training phases. By adopting 16-bit precision for ongoing training, we are able
to substantially decrease memory requirements and computational burden, thereby
accelerating the training process in a resource-limited setting. Our
experiments show that this method maintains the high standards of accuracy set
by the original 32-bit training while providing a much-needed boost in training
speed. This approach is especially pertinent in today's context, where most
models are initially trained in 32-bit and require periodic updates and
refinements. The findings from our research suggest that this strategy of
16-bit continuation training can be a key solution for sustainable and
efficient deep learning, offering a practical way to enhance pre-trained models
rapidly and in a resource-conscious manner.",193
abs-2110.05635v2,"Real-time EEG-based Emotion Recognition using Discrete Wavelet
  Transforms on Full and Reduced Channel Signals",Machine Learning,cs.LG,2021-10-11,11/12/21,"['Josef Bajada', 'Francesco Borg Bonello']",'Josef Bajada',"Real-time EEG-based Emotion Recognition (EEG-ER) with consumer-grade EEG
devices involves classification of emotions using a reduced number of channels.
These devices typically provide only four or five channels, unlike the high
number of channels (32 or more) typically used in most current state-of-the-art
research. In this work we propose to use Discrete Wavelet Transforms (DWT) to
extract time-frequency domain features, and we use time-windows of a few
seconds to perform EEG-ER classification. This technique can be used in
real-time, as opposed to post-hoc on the full session data. We also apply
baseline removal preprocessing, developed in prior research, to our proposed
DWT Entropy and Energy features, which improves classification accuracy
significantly. We consider two different classifier architectures, a 3D
Convolutional Neural Network (3D CNN) and a Support Vector Machine (SVM). We
evaluate both models on subject-independent and subject dependent setups to
classify the Valence and Arousal dimensions of an individual's emotional state.
We test them on both the full 32-channel data provided by the DEAP dataset, and
also a reduced 5-channel extract of the same dataset. The SVM model performs
best on all the presented scenarios, achieving an accuracy of 95.32% on Valence
and 95.68% on Arousal for the full 32-channel subject-dependent case, beating
prior real-time EEG-ER subject-dependent benchmarks. On the subject-independent
case an accuracy of 80.70% on Valence and 81.41% on Arousal was also obtained.
Reducing the input data to 5 channels only degrades the accuracy by an average
of 3.54% across all scenarios, making this model appropriate for use with more
accessible low-end EEG devices.",257
abs-2012.05999v1,An IoT Framework for Heart Disease Prediction based on MDCNN Classifier,Machine Learning,cs.LG,2020-12-10,12/10/20,['Mohammad Ayoub Khan'],'Mohammad Ayoub Khan',"Nowadays, heart disease is the leading cause of death worldwide. Predicting
heart disease is a complex task since it requires experience along with
advanced knowledge. Internet of Things (IoT) technology has lately been adopted
in healthcare systems to collect sensor values for heart disease diagnosis and
prediction. Many researchers have focused on the diagnosis of heart disease,
yet the accuracy of the diagnosis results is low. To address this issue, an IoT
framework is proposed to evaluate heart disease more accurately using a
Modified Deep Convolutional Neural Network (MDCNN). The smartwatch and heart
monitor device that is attached to the patient monitors the blood pressure and
electrocardiogram (ECG). The MDCNN is utilized for classifying the received
sensor data into normal and abnormal. The performance of the system is analyzed
by comparing the proposed MDCNN with existing deep learning neural networks and
logistic regression. The results demonstrate that the proposed MDCNN based
heart disease prediction system performs better than other methods. The
proposed method shows that for the maximum number of records, the MDCNN
achieves an accuracy of 98.2 which is better than existing classifiers.",184
abs-2209.10818v2,Memory-Augmented Graph Neural Networks: A Brain-Inspired Review,Machine Learning,cs.LG,2022-09-22,7/14/23,"['Guixiang Ma', 'Vy A. Vo', 'Theodore Willke', 'Nesreen K. Ahmed']",'Guixiang Ma',"We provide a comprehensive review of the existing literature on
memory-augmented GNNs. We review these works through the lens of psychology and
neuroscience, which has several established theories on how multiple memory
systems and mechanisms operate in biological brains. We propose a taxonomy of
memory-augmented GNNs and a set of criteria for comparing their memory
mechanisms. We also provide critical discussions on the limitations of these
works. Finally, we discuss the challenges and future directions for this area.",78
abs-2406.18311v2,"Online Learning of Multiple Tasks and Their Relationships : Testing on
  Spam Email Data and EEG Signals Recorded in Construction Fields",Machine Learning,cs.LG,2024-06-26,6/30/24,"['Yixin Jin', 'Wenjing Zhou', 'Meiqi Wang', 'Meng Li', 'Xintao Li', 'Tianyu Hu']",'Yixin Jin',"This paper examines an online multi-task learning (OMTL) method, which
processes data sequentially to predict labels across related tasks. The
framework learns task weights and their relatedness concurrently. Unlike
previous models that assumed static task relatedness, our approach treats tasks
as initially independent, updating their relatedness iteratively using newly
calculated weight vectors. We introduced three rules to update the task
relatedness matrix: OMTLCOV, OMTLLOG, and OMTLVON, and compared them against a
conventional method (CMTL) that uses a fixed relatedness value. Performance
evaluations on three datasets a spam dataset and two EEG datasets from
construction workers under varying conditions demonstrated that our OMTL
methods outperform CMTL, improving accuracy by 1% to 3% on EEG data, and
maintaining low error rates around 12% on the spam dataset.",125
abs-2302.04179v4,"A Scale-Independent Multi-Objective Reinforcement Learning with
  Convergence Analysis",Machine Learning,cs.LG,2023-02-08,2/27/23,['Mohsen Amidzadeh'],'Mohsen Amidzadeh',"Many sequential decision-making problems need optimization of different
objectives which possibly conflict with each other. The conventional way to
deal with a multi-task problem is to establish a scalar objective function
based on a linear combination of different objectives. However, for the case of
having conflicting objectives with different scales, this method needs a
trial-and-error approach to properly find proper weights for the combination.
As such, in most cases, this approach cannot guarantee an optimal Pareto
solution. In this paper, we develop a single-agent scale-independent
multi-objective reinforcement learning on the basis of the Advantage
Actor-Critic (A2C) algorithm. A convergence analysis is then done for the
devised multi-objective algorithm providing a convergence-in-mean guarantee. We
then perform some experiments over a multi-task problem to evaluate the
performance of the proposed algorithm. Simulation results show the superiority
of developed multi-objective A2C approach against the single-objective
algorithm.",143
abs-2106.00115v1,Fine-grained Generalization Analysis of Structured Output Prediction,Machine Learning,cs.LG,2021-05-31,5/31/21,"['Waleed Mustafa', 'Yunwen Lei', 'Antoine Ledent', 'Marius Kloft']",'Waleed Mustafa',"In machine learning we often encounter structured output prediction problems
(SOPPs), i.e. problems where the output space admits a rich internal structure.
Application domains where SOPPs naturally occur include natural language
processing, speech recognition, and computer vision. Typical SOPPs have an
extremely large label set, which grows exponentially as a function of the size
of the output. Existing generalization analysis implies generalization bounds
with at least a square-root dependency on the cardinality $d$ of the label set,
which can be vacuous in practice. In this paper, we significantly improve the
state of the art by developing novel high-probability bounds with a logarithmic
dependency on $d$. Moreover, we leverage the lens of algorithmic stability to
develop generalization bounds in expectation without any dependency on $d$. Our
results therefore build a solid theoretical foundation for learning in
large-scale SOPPs. Furthermore, we extend our results to learning with weakly
dependent data.",148
abs-2309.16941v2,"G4SATBench: Benchmarking and Advancing SAT Solving with Graph Neural
  Networks",Machine Learning,cs.LG,2023-09-29,5/10/24,"['Zhaoyu Li', 'Jinpei Guo', 'Xujie Si']",'Zhaoyu Li',"Graph neural networks (GNNs) have recently emerged as a promising approach
for solving the Boolean Satisfiability Problem (SAT), offering potential
alternatives to traditional backtracking or local search SAT solvers. However,
despite the growing volume of literature in this field, there remains a notable
absence of a unified dataset and a fair benchmark to evaluate and compare
existing approaches. To address this crucial gap, we present G4SATBench, the
first benchmark study that establishes a comprehensive evaluation framework for
GNN-based SAT solvers. In G4SATBench, we meticulously curate a large and
diverse set of SAT datasets comprising 7 problems with 3 difficulty levels and
benchmark a broad range of GNN models across various prediction tasks, training
objectives, and inference algorithms. To explore the learning abilities and
comprehend the strengths and limitations of GNN-based SAT solvers, we also
compare their solving processes with the heuristics in search-based SAT
solvers. Our empirical results provide valuable insights into the performance
of GNN-based SAT solvers and further suggest that existing GNN models can
effectively learn a solving strategy akin to greedy local search but struggle
to learn backtracking search in the latent space. Our codebase is available at
https://github.com/zhaoyu-li/G4SATBench.",192
abs-2303.11647v2,Are uGLAD? Time will tell!,Machine Learning,cs.LG,2023-03-21,10/22/24,"['Shima Imani', 'Harsh Shrivastava']",'Shima Imani',"We frequently encounter multiple series that are temporally correlated in our
surroundings, such as EEG data to examine alterations in brain activity or
sensors to monitor body movements. Segmentation of multivariate time series
data is a technique for identifying meaningful patterns or changes in the time
series that can signal a shift in the system's behavior. However, most
segmentation algorithms have been designed primarily for univariate time
series, and their performance on multivariate data remains largely
unsatisfactory, making this a challenging problem. In this work, we introduce a
novel approach for multivariate time series segmentation using conditional
independence (CI) graphs. CI graphs are probabilistic graphical models that
represents the partial correlations between the nodes. We propose a domain
agnostic multivariate segmentation framework $\texttt{tGLAD}$ which draws a
parallel between the CI graph nodes and the variables of the time series.
Consider applying a graph recovery model $\texttt{uGLAD}$ to a short interval
of the time series, it will result in a CI graph that shows partial
correlations among the variables. We extend this idea to the entire time series
by utilizing a sliding window to create a batch of time intervals and then run
a single $\texttt{uGLAD}$ model in multitask learning mode to recover all the
CI graphs simultaneously. As a result, we obtain a corresponding temporal CI
graphs representation. We then designed a first-order and second-order based
trajectory tracking algorithms to study the evolution of these graphs across
distinct intervals. Finally, an `Allocation' algorithm is used to determine a
suitable segmentation of the temporal graph sequence. $\texttt{tGLAD}$ provides
a competitive time complexity of $O(N)$ for settings where number of variables
$D<<N$. We demonstrate successful empirical results on a Physical Activity
Monitoring data.",281
abs-2307.02454v1,"Transgressing the boundaries: towards a rigorous understanding of deep
  learning and its (non-)robustness",Machine Learning,cs.LG,2023-07-05,7/5/23,"['Carsten Hartmann', 'Lorenz Richter']",'Carsten Hartmann',"The recent advances in machine learning in various fields of applications can
be largely attributed to the rise of deep learning (DL) methods and
architectures. Despite being a key technology behind autonomous cars, image
processing, speech recognition, etc., a notorious problem remains the lack of
theoretical understanding of DL and related interpretability and (adversarial)
robustness issues. Understanding the specifics of DL, as compared to, say,
other forms of nonlinear regression methods or statistical learning, is
interesting from a mathematical perspective, but at the same time it is of
crucial importance in practice: treating neural networks as mere black boxes
might be sufficient in certain cases, but many applications require waterproof
performance guarantees and a deeper understanding of what could go wrong and
why it could go wrong. It is probably fair to say that, despite being
mathematically well founded as a method to approximate complicated functions,
DL is mostly still more like modern alchemy that is firmly in the hands of
engineers and computer scientists. Nevertheless, it is evident that certain
specifics of DL that could explain its success in applications demands
systematic mathematical approaches. In this work, we review robustness issues
of DL and particularly bridge concerns and attempts from approximation theory
to statistical learning theory. Further, we review Bayesian Deep Learning as a
means for uncertainty quantification and rigorous explainability.",222
